==========================================
STORM MONITOR - Auto-Shutdown on High PPS
==========================================
Target Container: nop-custom-web
Target Port: 80
PPS Threshold: 2000
Monitoring Interface: any
Sample Interval: 1s
Log File: storm_monitor_20251230_185708.log
Started: Tue Dec 30 18:57:08 UTC 2025
==========================================

📍 Container IP: 172.19.0.5

🔧 Installing tcpdump in container...
OCI runtime exec failed: exec failed: unable to start container process: exec: "bash": executable file not found in $PATH: unknown
✓ tcpdump ready

🔍 Starting packet monitoring...
⚠️  Will shutdown port 80 when PPS exceeds 2000
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

[18:58:02] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 54s
[18:58:03] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 55s
[18:58:03] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 55s
[18:58:04] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 56s
[18:58:04] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 56s
[18:58:05] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 57s
[18:58:05] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 57s
[18:58:06] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 58s
[18:58:07] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 58s
[18:58:07] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 59s
[18:58:08] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 60s
[18:58:08] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 60s
[18:58:09] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 61s
[18:58:09] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 61s
[18:58:10] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 62s
[18:58:11] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 63s
[18:58:11] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 63s
[18:58:12] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 64s
[18:58:12] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 64s
[18:58:13] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 65s
[18:58:13] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 65s
[18:58:14] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 66s
[18:58:15] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 66s
[18:58:15] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 67s
[18:58:16] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 68s
[18:58:16] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 68s
[18:58:17] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 69s
[18:58:17] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 69s
